teamName,numChamp
Alfa Romeo Racing Orlen,2
Scuderia AlphaTauri Honda,0
Scuderia Ferrari,15
Haas F1 Team,0
McLaren F1 Team,12
Mercedes-AMG Petronas F1 Team,9
BWT Racing Point F1 Team,0
Aston Martin Red Bull Racing,4
Renault DP World F1 Team,2
Williams Racing,7
